date,ticker,pos,neg,neu,compound,ticker,close,volume
2019-05-10,UBER,0.111,0.042,0.846,1.0,UBER,41.57,189836990.0
2019-05-13,UBER,0.111,0.042,0.846,1.0,UBER,37.1,79478203.0
2019-05-14,UBER,0.111,0.042,0.846,1.0,UBER,39.96,46661187.0
2019-05-15,UBER,0.111,0.042,0.846,1.0,UBER,41.29,36086872.0
2019-05-16,UBER,0.111,0.042,0.846,1.0,UBER,43.0,38115524.0
2019-05-17,UBER,0.111,0.042,0.846,1.0,UBER,41.91,20225687.0
2019-05-20,UBER,0.111,0.042,0.846,1.0,UBER,41.59,29222624.0
2019-05-21,UBER,0.111,0.042,0.846,1.0,UBER,41.5,10802863.0
2019-05-22,UBER,0.111,0.042,0.846,1.0,UBER,41.25,9089469.0
2019-05-23,UBER,0.111,0.042,0.846,1.0,UBER,40.47,11120123.0
2019-05-24,UBER,0.111,0.042,0.846,1.0,UBER,41.51,8786891.0
2019-05-28,UBER,0.111,0.042,0.846,1.0,UBER,40.95,13391605.0
2019-05-29,UBER,0.111,0.042,0.846,1.0,UBER,39.94,14060547.0
2019-05-30,UBER,0.111,0.042,0.846,1.0,UBER,39.8,26451864.0
2019-05-31,UBER,0.111,0.042,0.846,1.0,UBER,40.41,23209848.0
2019-06-03,UBER,0.111,0.042,0.846,1.0,UBER,41.25,16605261.0
2019-06-04,UBER,0.111,0.042,0.846,1.0,UBER,42.75,23432141.0
2019-06-05,UBER,0.111,0.042,0.846,1.0,UBER,45.0,28617446.0
2019-06-06,UBER,0.111,0.042,0.846,1.0,UBER,44.92,16403691.0
2019-06-07,UBER,0.111,0.042,0.846,1.0,UBER,44.16,12654670.0
2019-06-10,UBER,0.111,0.042,0.846,1.0,UBER,42.61,11618701.0
2019-06-11,UBER,0.111,0.042,0.846,1.0,UBER,42.45,9095044.0
2019-06-12,UBER,0.111,0.042,0.846,1.0,UBER,42.17,5965250.0
2019-06-13,UBER,0.111,0.042,0.846,1.0,UBER,44.31,10201535.0
2019-06-14,UBER,0.111,0.042,0.846,1.0,UBER,43.23,7902223.0
2019-06-17,UBER,0.111,0.042,0.846,1.0,UBER,43.78,6557589.0
2019-06-18,UBER,0.111,0.042,0.846,1.0,UBER,43.86,7313980.0
2019-06-19,UBER,0.111,0.042,0.846,1.0,UBER,44.86,10331522.0
2019-06-20,UBER,0.111,0.042,0.846,1.0,UBER,43.86,9567367.0
2019-06-21,UBER,0.111,0.042,0.846,1.0,UBER,44.0,4977652.0
2019-06-24,UBER,0.111,0.042,0.846,1.0,UBER,43.09,6285053.0
2019-06-25,UBER,0.111,0.042,0.846,1.0,UBER,43.09,5755107.0
2019-06-26,UBER,0.111,0.042,0.846,1.0,UBER,42.5,8109056.0
2019-06-27,UBER,0.111,0.042,0.846,1.0,UBER,45.13,20155079.0
2019-06-28,UBER,0.111,0.042,0.846,1.0,UBER,46.38,28657233.0
2019-06-30,UBER,0.115,0.026,0.86,1.0,UBER,46.38,28657233.0
2019-07-01,UBER,0.115,0.026,0.86,1.0,UBER,44.27,17840377.0
2019-07-02,UBER,0.115,0.026,0.86,1.0,UBER,44.0,11881274.0
2019-07-03,UBER,0.115,0.026,0.86,1.0,UBER,44.23,3380003.0
