date,ticker,pos,neg,neu,compound,ticker,close,volume
2015-12-01,REGI,0.112,0.04,0.849,1.0,REGI,8.88,734733.0
2015-12-02,REGI,0.112,0.04,0.849,1.0,REGI,8.73,212898.0
2015-12-03,REGI,0.112,0.04,0.849,1.0,REGI,8.72,523551.0
2015-12-04,REGI,0.112,0.04,0.849,1.0,REGI,8.89,403099.0
2015-12-07,REGI,0.112,0.04,0.849,1.0,REGI,8.34,460234.0
2015-12-08,REGI,0.112,0.04,0.849,1.0,REGI,8.31,372204.0
2015-12-09,REGI,0.112,0.04,0.849,1.0,REGI,8.63,300710.0
2015-12-10,REGI,0.112,0.04,0.849,1.0,REGI,8.69,182602.0
2015-12-11,REGI,0.112,0.04,0.849,1.0,REGI,8.38,364773.0
2015-12-14,REGI,0.112,0.04,0.849,1.0,REGI,8.27,298190.0
2015-12-15,REGI,0.112,0.04,0.849,1.0,REGI,8.46,264515.0
2015-12-16,REGI,0.112,0.04,0.849,1.0,REGI,8.88,431320.0
2015-12-17,REGI,0.112,0.04,0.849,1.0,REGI,8.61,445572.0
2015-12-18,REGI,0.112,0.04,0.849,1.0,REGI,8.64,663997.0
2015-12-21,REGI,0.112,0.04,0.849,1.0,REGI,9.12,474227.0
2015-12-22,REGI,0.112,0.04,0.849,1.0,REGI,9.26,421850.0
2015-12-23,REGI,0.112,0.04,0.849,1.0,REGI,9.22,310002.0
2015-12-24,REGI,0.112,0.04,0.849,1.0,REGI,9.41,130538.0
2015-12-28,REGI,0.112,0.04,0.849,1.0,REGI,9.2,437389.0
2015-12-29,REGI,0.112,0.04,0.849,1.0,REGI,9.43,245796.0
2015-12-30,REGI,0.112,0.04,0.849,1.0,REGI,9.25,266300.0
2015-12-31,REGI,0.132,0.055,0.812,1.0,REGI,9.29,296442.0
2016-01-04,REGI,0.132,0.055,0.812,1.0,REGI,9.2,559669.0
2016-01-05,REGI,0.132,0.055,0.812,1.0,REGI,9.08,384886.0
2016-01-06,REGI,0.132,0.055,0.812,1.0,REGI,8.95,286986.0
2016-01-07,REGI,0.132,0.055,0.812,1.0,REGI,8.63,387037.0
2016-01-08,REGI,0.132,0.055,0.812,1.0,REGI,8.35,365641.0
2016-01-11,REGI,0.132,0.055,0.812,1.0,REGI,8.24,299593.0
2016-01-12,REGI,0.132,0.055,0.812,1.0,REGI,8.18,301083.0
2016-01-13,REGI,0.132,0.055,0.812,1.0,REGI,8.1,290961.0
2016-01-14,REGI,0.132,0.055,0.812,1.0,REGI,7.82,410285.0
2016-01-15,REGI,0.132,0.055,0.812,1.0,REGI,7.35,566460.0
2016-01-19,REGI,0.132,0.055,0.812,1.0,REGI,6.67,466691.0
