,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,close,volume
2020-12-10,0.25184047619047617,0.08619047619047619,0.8810238095238095,0.03280952380952381,144.71,70470750.0
2020-12-11,0.6345375,0.136875,0.840375,0.02275,139.25,26981241.0
2020-12-12,0.0258,0.151,0.7085,0.1405,139.25,26981241.0
2020-12-13,0.0258,0.151,0.7085,0.1405,139.25,26981241.0
2020-12-14,-0.4019,0.0,0.903,0.097,130.0,16966090.0
2020-12-15,0.22666666666666666,0.053,0.8806666666666666,0.06633333333333334,124.8,10914466.0
2020-12-16,0.8689,0.271,0.682,0.047,137.99,20410248.0
2020-12-17,0.8689,0.271,0.682,0.047,147.05,15054741.0
2020-12-18,0.8689,0.271,0.682,0.047,157.3,15954535.0
2020-12-19,0.995,0.154,0.783,0.063,157.3,15954535.0
2020-12-20,0.42343333333333333,0.08600000000000001,0.891,0.023000000000000003,157.3,15954535.0
2020-12-21,0.42343333333333333,0.08600000000000001,0.891,0.023000000000000003,163.02,17788120.0
2020-12-22,0.3176333333333334,0.06799999999999999,0.9216666666666667,0.010333333333333333,163.19,9892384.0
2020-12-23,0.3933,0.0805,0.9195,0.0,158.01,5852486.0
2020-12-24,0.3933,0.0805,0.9195,0.0,154.84,3621360.0
2020-12-25,0.30269166666666664,0.12208333333333332,0.8279166666666667,0.049999999999999996,154.84,3621360.0
2020-12-26,0.4220428571428571,0.101,0.8174285714285715,0.08157142857142856,154.84,3621360.0
2020-12-27,0.4220428571428571,0.101,0.8174285714285715,0.08157142857142856,154.84,3621360.0
2020-12-28,-0.3612,0.0,0.839,0.161,149.0,6229179.0
2020-12-29,-0.3612,0.0,0.839,0.161,150.0,5402266.0
2020-12-30,0.8268,0.127,0.873,0.0,148.43,3462445.0
2020-12-31,0.0,0.0,1.0,0.0,146.8,2795813.0
2021-01-01,0.0,0.0,1.0,0.0,146.8,2795813.0
2021-01-02,0.0,0.0,1.0,0.0,146.8,2795813.0
2021-01-03,0.0,0.0,1.0,0.0,146.8,2795813.0
2021-01-04,0.0772,0.077,0.86,0.063,139.15,6415486.0
2021-01-05,0.0772,0.077,0.86,0.063,148.3,5975646.0
2021-01-06,0.0772,0.077,0.86,0.063,142.77,4213936.0
2021-01-07,0.0772,0.077,0.86,0.063,151.27,4482769.0
2021-01-08,0.0772,0.077,0.86,0.063,149.77,4615625.0
2021-01-09,0.0772,0.077,0.86,0.063,149.77,4615625.0
2021-01-10,0.0772,0.077,0.86,0.063,149.77,4615625.0
2021-01-11,0.9757,0.222,0.764,0.014,148.13,2801881.0
2021-01-12,0.9757,0.222,0.764,0.014,160.8,8145892.0
2021-01-13,0.9757,0.222,0.764,0.014,169.99,12529726.0
2021-01-14,0.54495,0.3935,0.6065,0.0,180.5,9926639.0
2021-01-15,0.54495,0.3935,0.6065,0.0,169.27,8575722.0
2021-01-16,0.54495,0.3935,0.6065,0.0,169.27,8575722.0
2021-01-17,0.54495,0.3935,0.6065,0.0,169.27,8575722.0
2021-01-18,0.54495,0.3935,0.6065,0.0,169.27,8575722.0
2021-01-19,0.54495,0.3935,0.6065,0.0,173.69,4685415.0
2021-01-20,0.54495,0.3935,0.6065,0.0,161.83,8517416.0
2021-01-21,0.4604333333333333,0.21833333333333335,0.765,0.016833333333333336,180.4,17618516.0
2021-01-22,0.4604333333333333,0.21833333333333335,0.765,0.016833333333333336,181.87,7137011.0
2021-01-23,0.0,0.0,1.0,0.0,181.87,7137011.0
2021-01-24,0.0,0.0,1.0,0.0,181.87,7137011.0
2021-01-25,0.0,0.0,1.0,0.0,177.53,7471922.0
2021-01-26,0.0,0.0,1.0,0.0,192.74,6460998.0
2021-01-27,0.0,0.0,1.0,0.0,201.25,11020033.0
2021-01-28,0.0,0.0,1.0,0.0,187.37,7077792.0
2021-01-29,0.0,0.0,1.0,0.0,183.63,4543469.0
2021-01-30,0.0,0.0,1.0,0.0,183.63,4543469.0
2021-01-31,0.0,0.0,1.0,0.0,183.63,4543469.0
2021-02-01,0.0,0.0,1.0,0.0,180.44,3877389.0
2021-02-02,0.0,0.0,1.0,0.0,179.17,4413624.0
2021-02-03,0.0,0.0,1.0,0.0,185.72,4185827.0
2021-02-04,0.0,0.0,1.0,0.0,195.8,3637039.0
2021-02-05,0.0,0.0,1.0,0.0,195.31,2869669.0
2021-02-06,0.0,0.0,1.0,0.0,195.31,2869669.0
2021-02-07,0.0,0.0,1.0,0.0,195.31,2869669.0
2021-02-08,0.9786,0.145,0.783,0.071,200.43,3492593.0
2021-02-09,0.9786,0.145,0.783,0.071,199.88,4725841.0
2021-02-10,0.9786,0.145,0.783,0.071,211.66,5257299.0
2021-02-11,0.9786,0.145,0.783,0.071,216.84,3595301.0
2021-02-12,0.9786,0.145,0.783,0.071,212.68,3041744.0
2021-02-13,0.9786,0.145,0.783,0.071,212.68,3041744.0
2021-02-14,0.0691,0.1815,0.7150000000000001,0.10350000000000001,212.68,3041744.0
2021-02-15,0.0691,0.1815,0.7150000000000001,0.10350000000000001,212.68,3041744.0
2021-02-16,0.0691,0.1815,0.7150000000000001,0.10350000000000001,209.86,3487938.0
2021-02-17,0.0691,0.1815,0.7150000000000001,0.10350000000000001,201.96,4090619.0
2021-02-18,0.0691,0.1815,0.7150000000000001,0.10350000000000001,198.04,2791419.0
2021-02-19,0.0691,0.1815,0.7150000000000001,0.10350000000000001,201.07,2605901.0
2021-02-20,0.2787,0.0805,0.9195,0.0,201.07,2605901.0
2021-02-21,0.2787,0.0805,0.9195,0.0,201.07,2605901.0
2021-02-22,0.0,0.0,1.0,0.0,195.34,3674223.0
2021-02-23,0.0,0.0,1.0,0.0,187.59,5902429.0
2021-02-24,0.0,0.0,1.0,0.0,200.2,5983538.0
2021-02-25,-0.10076,0.0524,0.8805999999999999,0.0666,182.06,11568492.0
2021-02-26,0.8252999999999999,0.126,0.855,0.019,206.35,19368608.0
2021-02-27,0.8252999999999999,0.126,0.855,0.019,206.35,19368608.0
2021-02-28,0.8252999999999999,0.126,0.855,0.019,206.35,19368608.0
2021-03-01,0.8252999999999999,0.126,0.855,0.019,196.42,15798527.0
2021-03-02,0.8252999999999999,0.126,0.855,0.019,189.9,9144947.0
2021-03-03,0.8252999999999999,0.126,0.855,0.019,180.4,10592934.0
2021-03-04,0.18505000000000002,0.07275000000000001,0.8535,0.07375,180.23,9997271.0
2021-03-05,0.18505000000000002,0.07275000000000001,0.8535,0.07375,179.81,8788544.0
2021-03-06,0.18505000000000002,0.07275000000000001,0.8535,0.07375,179.81,8788544.0
2021-03-07,0.18505000000000002,0.07275000000000001,0.8535,0.07375,179.81,8788544.0
2021-03-08,0.18505000000000002,0.07275000000000001,0.8535,0.07375,180.81,4988473.0
